Roll No,Name,Gender,Age,Parents’ Education,Occupation,Family Income,Attendance (%),Previous Exam Performance,Hours of Study per Day,Hours of Sleep per Day,Class Participation,Assignment Submission Rate (%),Enrolled in Test Preparation Course,Receiving Tuition,Hours of Self-Study per Day,Health Status,Stress Level,Extra-Curricular Activities,Pass or Fail,Source of Study,Expected Percentage,Actual Percentage
181,Diya,Female,16,PG,Doctor,130339,57.45,42.78,5.2,5.9,Low,82.47,Yes,Yes,3.4,Good,1,Sports,Pass,Online,52,53
182,Rajat,Male,16,High School,Shopkeeper,92332,60.57,71.97,3.9,5.5,High,63.22,No,Yes,2.1,Average,2,Art,Pass,Offline,63,59
183,Priya,Female,18,High School,Tailor,82496,69.56,40.99,1.5,6.2,Medium,97.58,Yes,No,0.1,Excellent,1,Music,Pass,Online,52,56
184,Swati,Female,14,UG,Accountant,329310,74.2,56.3,4.1,6.2,Medium,81.98,No,No,0.4,Average,4,Art,Pass,Online,52,53
185,Sneha,Female,16,High School,Security Guard,69118,67.83,79.06,3.4,6.9,High,53.23,No,Yes,2.3,Good,3,Art,Pass,Offline,52,51
186,Amit,Male,16,UG,Teacher,359556,90.7,43.18,3.5,8.6,Low,99.51,Yes,No,3.6,Good,4,Sports,Pass,Online,52,53
187,Manish,Male,18,PG,Manager,154262,96.38,85.44,4,6.5,Low,93.63,Yes,No,1.1,Poor,2,Dance,Pass,Offline,52,53
188,Siddharth,Male,16,UG,Technician,313398,98.76,67.89,5.3,5.1,Medium,60,No,Yes,1.4,Excellent,2,Art,Pass,Online,52,53
189,Tanya,Female,15,High School,Farmer,369668,51.1,93.9,3.8,7.2,Low,64.44,Yes,No,4,Good,2,None,Pass,Offline,62,58
190,Nikhil,Male,14,High School,Driver,176655,69.92,86.96,5.6,5.6,Medium,95.63,No,No,1.6,Poor,4,None,Pass,Offline,62,54
191,Sakshi,Female,14,PG,Doctor,337538,81.08,45.27,4.1,6,Medium,92.39,Yes,No,3,Good,2,Art,Pass,Online,52,53
192,Trisha,Female,14,UG,Accountant,434199,72.02,72.45,2.6,7.1,High,91.1,Yes,No,0.9,Good,5,Sports,Pass,Online,52,47
193,Kavya,Female,17,UG,Clerk,147341,99.29,91.52,5.3,5.5,Low,67.46,Yes,No,0,Excellent,1,None,Pass,Offline,52,53
194,Vivaan,Male,18,High School,Shopkeeper,177880,60.82,98.62,2,8.7,Medium,58.66,No,Yes,1.4,Excellent,2,Art,Pass,Online,48,42
195,Raj,Male,18,UG,Accountant,217174,63.1,71.18,4.5,8.8,High,63.51,No,No,2.4,Good,1,Music,Pass,Online,52,53
196,Pranav,Male,14,UG,Teacher,383278,67.95,62.6,5.1,8.1,Low,60.08,No,No,1.3,Average,4,Art,Pass,Online,52,53
197,Diya,Female,14,High School,Shopkeeper,469556,95.16,98.56,4.6,7.4,Medium,66.93,Yes,No,3.6,Average,5,Sports,Pass,Online,46,42
198,Siddharth,Male,16,PG,Scientist,354853,53.28,42.32,4.7,8.1,High,61.59,Yes,No,1.6,Average,4,Art,Pass,Online,52,53
199,Swati,Female,16,PG,Engineer,365978,79.35,99.09,3.7,5.5,High,75.18,Yes,No,2.2,Excellent,5,None,Pass,Online,52,48
200,Rajat,Male,16,High School,Farmer,99537,62.38,61.72,4,6.3,Low,78.38,Yes,No,0.8,Average,5,Art,Pass,Offline,42,36
201,Trisha,Female,16,PG,Scientist,439940,79.85,48.96,4.8,7.1,Low,93.69,No,No,3.3,Excellent,5,Sports,Pass,Offline,52,50
202,Pranav,Male,14,PG,Doctor,302638,85.13,90.66,3.1,6.2,Low,67.37,No,Yes,3.5,Average,4,Art,Pass,Online,52,53
203,Trisha,Female,15,PG,Engineer,136129,85.43,51.37,5.5,7.9,High,55.16,No,Yes,4,Poor,1,Dance,Pass,Online,52,53
204,Nikita,Female,15,PG,Scientist,457050,80.88,72.11,1.7,5.2,Low,85.19,Yes,Yes,0.1,Average,2,Dance,Pass,Offline,52,53
205,Pranav,Male,16,PG,Professor,198955,99.08,45.61,2.2,6,Low,75.93,No,No,2.6,Poor,5,Sports,Pass,Offline,52,49
206,Sneha,Female,14,High School,Shopkeeper,301485,89.42,79.24,5.8,6.2,High,64.78,No,No,1.3,Poor,3,Music,Pass,Online,71,66
207,Amit,Male,18,PG,Doctor,223531,62.96,91.78,2.4,5.3,Low,79.18,No,No,3.7,Excellent,3,Sports,Pass,Offline,52,53
208,Riya,Female,14,UG,Salesperson,478693,83.33,60.76,3,7.5,High,57.7,Yes,Yes,1.9,Good,1,Music,Pass,Offline,52,53
209,Aryan,Male,18,UG,Salesperson,490398,78.36,94.38,3.5,7.2,Medium,82.53,Yes,Yes,1.8,Average,5,None,Pass,Offline,52,51
210,Rahul,Male,15,UG,Clerk,175128,66.6,58.97,3.7,6.9,High,58.72,Yes,Yes,1.7,Average,5,Art,Pass,Offline,52,51
211,Sakshi,Female,16,High School,Security Guard,57353,85.57,77.67,5.8,7.6,Low,59.73,No,Yes,2.1,Average,4,None,Pass,Online,63,66
212,Komal,Female,14,High School,Driver,154598,59.26,88.65,4.5,8,Low,75.32,No,No,1.7,Excellent,3,Sports,Pass,Online,61,66
213,Sakshi,Female,15,PG,Scientist,114742,70.55,90.46,4.6,6.6,High,89.1,Yes,No,2.3,Average,1,Dance,Pass,Offline,52,53
214,Bhavna,Female,17,High School,Security Guard,206978,63.24,98.01,2.6,6.2,High,76.98,No,No,2.6,Poor,5,Sports,Pass,Offline,30,26
215,Nikita,Female,16,High School,Security Guard,392792,91.06,71.01,5,7.4,Medium,95.86,No,Yes,0.9,Poor,1,Art,Pass,Offline,80,83
216,Pooja,Female,16,UG,Accountant,438132,79.64,90.54,5.7,7.2,Low,72.73,Yes,Yes,3.6,Good,4,None,Pass,Offline,52,53
217,Kunal,Male,14,High School,Shopkeeper,485388,77.77,79.15,1.5,6.9,Low,81.4,Yes,No,1.4,Good,5,Dance,Pass,Offline,22,18
218,Bhavna,Female,17,PG,Engineer,50866,84.9,59.75,5.8,5,Medium,89.09,Yes,No,2.7,Excellent,5,Music,Pass,Online,52,51
219,Nikita,Female,18,UG,Accountant,102632,64.67,71.55,3.9,8.4,High,100,No,No,2.2,Average,5,Sports,Pass,Offline,52,49
220,Harsh,Male,18,PG,Manager,289655,56.93,47.43,1.5,6.8,High,97.31,No,No,1.1,Excellent,1,Dance,Pass,Offline,52,53
221,Vivaan,Male,14,PG,Manager,242465,51.87,44.85,2,5.7,Low,75.49,No,Yes,1.3,Excellent,1,Music,Pass,Online,52,53
222,Aanya,Female,18,PG,Professor,236639,50.96,54.14,1.4,5.3,Medium,71.21,No,No,2.7,Good,2,Art,Pass,Online,52,53
223,Meera,Female,18,PG,Doctor,416045,55.15,90.62,2,5.3,Medium,81.37,No,No,1.1,Poor,2,Dance,Pass,Online,52,53
224,Aditya,Male,18,PG,Doctor,286091,58.43,83.98,3.8,6.9,High,66.87,No,No,0.1,Average,2,Art,Pass,Offline,52,53
225,Aarav,Male,15,High School,Farmer,257917,72.39,78.79,5,8.8,Low,96.43,Yes,No,1.4,Excellent,5,Dance,Pass,Online,50,47
226,Aanya,Female,18,PG,Manager,353608,71.97,95.94,1,8,Low,57.38,Yes,Yes,3.1,Average,1,Sports,Pass,Online,52,53
227,Sneha,Female,14,High School,Security Guard,242883,65.45,43.35,3,7,High,50.65,No,Yes,3,Poor,1,None,Pass,Online,64,65
228,Shreya,Female,15,UG,Salesperson,73459,73.45,83.94,4.9,6.5,High,83.57,Yes,No,0.9,Excellent,5,Dance,Pass,Offline,52,50
229,Isha,Female,18,UG,Salesperson,365742,90.55,42.51,5.6,8.9,High,74.98,Yes,No,1.6,Excellent,4,Sports,Pass,Offline,52,53
230,Priya,Female,18,High School,Farmer,149564,86.18,52.76,3.6,7.8,Low,94.58,No,No,2.8,Poor,2,None,Pass,Offline,61,61
231,Vikram,Male,15,High School,Shopkeeper,69624,70.38,56.98,3.9,7.9,Low,79.44,Yes,Yes,1.3,Good,5,Dance,Pass,Online,41,38
232,Priya,Female,18,PG,Professor,426166,85.6,98.29,3.2,8.9,Low,89.07,No,No,1.4,Excellent,3,Dance,Pass,Offline,52,53
233,Diya,Female,14,High School,Shopkeeper,322741,71.4,97.36,3.4,7.3,High,96.48,Yes,Yes,1.2,Average,1,None,Pass,Online,67,69
234,Kunal,Male,14,UG,Accountant,149091,57.73,64.87,5.3,5.6,Medium,59.9,Yes,No,3.1,Poor,5,Music,Pass,Online,52,50
235,Neha,Female,18,High School,Tailor,390507,78.43,65.26,1.7,8,Medium,72.67,No,No,0.4,Average,3,Art,Pass,Offline,38,49
236,Vikram,Male,17,High School,Driver,293156,64.4,78.74,4.9,7.4,High,58.91,No,Yes,1.6,Excellent,4,Art,Pass,Offline,56,59
237,Amit,Male,17,PG,Engineer,372205,58.9,55.46,5.4,5.2,Low,87.51,No,No,2.6,Poor,5,Music,Pass,Online,52,49
238,Simran,Female,15,PG,Doctor,393665,80.99,73.96,4.9,7.3,Low,50.15,No,Yes,2.3,Average,3,Art,Pass,Online,52,53
239,Raj,Male,15,UG,Teacher,193403,53.93,97.88,4.4,7.2,High,87.41,Yes,Yes,3.3,Poor,5,Dance,Pass,Online,52,48
240,Neha,Female,15,High School,Tailor,186071,56.06,66.09,3.2,8,High,83.72,No,No,2.5,Good,5,Music,Pass,Offline,35,34
241,Diya,Female,17,PG,Engineer,164340,81.43,87.59,5.7,5.7,Medium,63.6,No,Yes,2.6,Poor,3,None,Pass,Offline,52,53
242,Aditya,Male,14,UG,Teacher,271640,58.53,78.21,5.4,7.9,Low,74.02,Yes,No,0.3,Excellent,1,Dance,Pass,Online,52,53
243,Sakshi,Female,18,PG,Professor,269105,91.16,96.97,3.5,7.5,Low,69.18,No,No,3.3,Poor,5,Art,Pass,Offline,52,48
244,Krishna,Male,16,UG,Clerk,446720,91.55,68.89,5.3,5.1,Medium,84.15,Yes,No,3.3,Poor,3,Music,Pass,Offline,52,53
245,Rajat,Male,14,UG,Salesperson,313148,97.69,41.6,5,5.5,High,99.37,No,No,3.1,Good,4,Sports,Pass,Offline,52,53
246,Shreya,Female,14,High School,Shopkeeper,184759,89.92,94.72,5.4,5.4,High,71.72,No,Yes,0.6,Average,5,Sports,Pass,Offline,53,52
247,Komal,Female,18,High School,Security Guard,450814,81.35,75.23,2,8.3,High,99.41,No,No,3.2,Excellent,4,None,Pass,Offline,33,31
248,Manish,Male,18,PG,Doctor,388804,55.97,49.73,5.2,6.2,Medium,59.78,No,No,2.2,Poor,2,Art,Pass,Online,52,53
249,Simran,Female,15,PG,Manager,116503,89.04,41.83,1.6,8.7,High,98.51,No,Yes,0.6,Excellent,2,Art,Pass,Online,52,53
250,Aarav,Male,16,High School,Security Guard,116451,88.83,66.05,5,8.1,High,78.7,Yes,Yes,3.9,Excellent,5,Music,Pass,Offline,50,48
251,Diya,Female,17,High School,Farmer,451312,63.58,69.21,1.4,6.3,High,78.02,Yes,No,1.6,Excellent,1,Sports,Pass,Online,51,53
252,Isha,Female,14,PG,Doctor,464950,92.41,68.32,1.7,6,High,92.73,Yes,No,3.9,Excellent,4,Dance,Pass,Offline,52,53
253,Trisha,Female,17,PG,Professor,320242,63.98,67.46,4.1,5.1,High,56.48,No,No,2.3,Good,4,None,Pass,Offline,52,53
254,Sakshi,Female,16,High School,Farmer,91747,58.41,61.7,4.2,5.9,Medium,82.06,Yes,No,3.5,Excellent,2,Dance,Pass,Offline,66,71
255,Pooja,Female,17,UG,Technician,498379,55.85,75.11,2,5.9,High,50.92,Yes,Yes,1.4,Average,4,Music,Pass,Offline,52,53
256,Manish,Male,16,High School,Security Guard,288125,97.6,86.05,5.8,5.7,High,52.34,Yes,Yes,1.6,Average,4,Art,Pass,Online,63,61
257,Sakshi,Female,17,PG,Manager,416756,74.62,77.62,6,6.5,High,84.19,Yes,Yes,1.6,Poor,4,Sports,Pass,Online,52,53
258,Bhavna,Female,18,High School,Security Guard,189296,87.98,80.9,4.6,8.4,Medium,87.19,No,Yes,2.1,Poor,4,Dance,Pass,Offline,54,50
259,Sakshi,Female,18,PG,Manager,405416,51.58,57.33,1,5.1,High,72.27,Yes,Yes,0.6,Good,1,None,Pass,Offline,52,53
260,Aarav,Male,15,UG,Teacher,334130,82.96,53.91,5.1,8.2,High,63.34,Yes,Yes,1.1,Average,2,Art,Pass,Offline,52,53
261,Amit,Male,14,UG,Accountant,207496,52.04,94.39,4,5.5,High,52.8,Yes,Yes,0,Good,3,Dance,Pass,Offline,52,53
262,Shreya,Female,16,UG,Technician,127003,66.72,98.47,5.6,8.2,Low,56.59,Yes,No,0.6,Poor,4,Sports,Pass,Offline,52,53
263,Pranav,Male,14,High School,Security Guard,349179,51.88,92.96,2.6,5.6,Low,82.37,No,Yes,2.4,Poor,2,Dance,Pass,Online,53,37
264,Aanya,Female,17,PG,Scientist,436560,50.91,71.83,5.2,5.9,High,67.68,Yes,Yes,0.1,Excellent,2,Dance,Pass,Offline,52,53
265,Priya,Female,14,High School,Driver,296582,77.68,52.19,1.9,6,Low,73.29,No,Yes,1.4,Average,3,Dance,Pass,Online,40,38
266,Trisha,Female,18,PG,Manager,310178,53.93,99.16,1.2,6.4,Medium,72.26,Yes,Yes,3.1,Good,2,None,Pass,Offline,52,53
267,Bhavna,Female,16,High School,Driver,347723,90.31,44.47,1,8.6,Low,88.33,No,Yes,3.9,Good,1,Art,Pass,Online,48,56
268,Aanya,Female,17,High School,Driver,179321,85.04,58.5,1.3,6.6,Low,58.84,No,Yes,0.5,Average,1,Art,Pass,Offline,50,55
269,Riya,Female,18,UG,Teacher,448646,76.31,81.03,1.6,8.6,Low,56.02,Yes,Yes,2.9,Excellent,3,None,Pass,Online,52,53
270,Simran,Female,14,UG,Technician,358544,87.58,42.38,1.7,7.7,Low,60.76,Yes,No,0.8,Good,4,Dance,Pass,Offline,52,53
271,Siddharth,Male,17,High School,Driver,259134,71.94,93.89,5.8,8.2,Medium,68.37,No,No,1.2,Good,4,Sports,Pass,Online,63,71
272,Aditya,Male,14,High School,Shopkeeper,332360,87.13,47.88,1.8,6.6,High,61.09,No,No,1.4,Excellent,2,None,Pass,Offline,46,46
273,Pranav,Male,18,High School,Security Guard,59567,61.88,82.62,1.6,9,Medium,95.47,No,Yes,3.9,Excellent,4,Music,Pass,Offline,30,36
274,Vivaan,Male,18,High School,Security Guard,240212,80.23,72.89,2.5,7.5,Low,91.46,Yes,Yes,1.5,Excellent,1,Dance,Pass,Online,60,65
275,Vivaan,Male,14,UG,Clerk,458289,51.12,74.08,2.4,8.9,Medium,82.44,Yes,No,1.6,Poor,1,Sports,Pass,Online,52,53
276,Manish,Male,18,PG,Engineer,192480,88.06,66,4.4,5.7,High,56.3,Yes,No,2.9,Good,3,Music,Pass,Offline,52,53
277,Aditya,Male,18,PG,Doctor,132527,96.47,61.43,1.1,7,Medium,69.66,Yes,No,2.3,Poor,5,Dance,Pass,Online,52,51
278,Komal,Female,17,PG,Doctor,214188,56.81,66.98,1.5,8.6,High,52.48,No,Yes,1,Poor,5,Art,Pass,Online,52,47
279,Komal,Female,17,UG,Salesperson,444231,92.32,61.08,1.2,8.7,High,79.37,Yes,No,0.8,Poor,1,Music,Pass,Offline,52,53
280,Priya,Female,14,High School,Security Guard,236172,72.95,83.29,3,8.6,Low,59.01,Yes,Yes,2.7,Average,2,Music,Pass,Offline,56,56
281,Manish,Male,17,High School,Shopkeeper,266436,75.62,56.78,3.7,6.9,Medium,80.4,Yes,No,1.7,Average,3,Sports,Pass,Online,54,54
282,Kunal,Male,16,PG,Engineer,456139,94.63,72.62,2.8,8.5,Medium,65.87,Yes,Yes,1.2,Good,5,Music,Pass,Online,52,48
283,Amit,Male,16,High School,Shopkeeper,487455,61,96.22,4,6.9,Low,50.11,Yes,No,0.4,Excellent,5,Art,Pass,Online,42,41
284,Tanya,Female,16,UG,Clerk,158585,83.16,46.74,5.2,6.3,Low,95.78,Yes,Yes,0.3,Poor,4,Music,Pass,Online,52,53
285,Sneha,Female,15,UG,Technician,222812,94.45,86.78,4.8,5.9,Low,53.53,No,Yes,2.5,Average,1,None,Pass,Online,52,53
286,Yash,Male,16,High School,Farmer,281367,62.84,52.04,1.8,8.5,Low,87.92,Yes,Yes,0.5,Good,5,None,Pass,Offline,24,14
287,Swati,Female,16,High School,Tailor,154938,71.36,63.9,2.1,7.5,Low,77.95,No,Yes,0.8,Excellent,2,Art,Pass,Offline,49,48
288,Pranav,Male,15,UG,Technician,180487,50.27,57.62,4.2,5.6,High,91.89,Yes,No,2.6,Poor,2,None,Pass,Online,52,53
289,Aryan,Male,18,High School,Tailor,372809,95.43,71.85,5.2,6.3,High,83.71,No,No,3.8,Poor,5,Sports,Pass,Online,51,48
290,Amit,Male,15,PG,Professor,352381,75.87,82.65,3.6,5.5,Low,75.84,Yes,Yes,3,Average,5,Dance,Pass,Offline,52,50
291,Abhishek,Male,17,High School,Driver,143404,59.16,50.55,5.8,6,High,70.99,Yes,No,0.3,Good,2,Music,Pass,Offline,78,77
292,Bhavna,Female,16,High School,Tailor,322218,63.33,54.77,2.1,6.9,Low,95.51,Yes,Yes,0.2,Average,1,Art,Pass,Online,56,59
293,Swati,Female,14,PG,Manager,81187,96.14,94.7,3.1,7.4,Medium,77.15,Yes,Yes,3.2,Poor,3,Music,Pass,Offline,52,53
294,Pooja,Female,14,High School,Shopkeeper,471068,80.63,74.87,2.8,5.1,Low,91.82,No,No,2.8,Average,1,Sports,Pass,Online,62,66
295,Amit,Male,14,High School,Farmer,134750,74.51,94.62,3.6,6.6,Medium,86.26,Yes,No,0.5,Poor,1,None,Pass,Offline,68,70
296,Krishna,Male,14,High School,Driver,347400,50.78,76.46,5.8,6.2,Medium,55.33,Yes,No,2.8,Average,5,Art,Pass,Online,56,52
297,Siddharth,Male,18,UG,Accountant,391349,90.85,73.79,1.6,6.9,Medium,83.57,No,No,3.5,Average,2,Art,Pass,Offline,52,53
298,Shreya,Female,16,UG,Accountant,99649,84.71,66.43,2.7,8.2,Low,56.98,Yes,No,2.3,Excellent,1,Art,Pass,Offline,52,53
299,Isha,Female,14,High School,Driver,487328,84.5,99.28,1.1,8.4,High,53.41,Yes,No,4,Poor,3,None,Pass,Offline,33,37
300,Kavya,Female,14,High School,Shopkeeper,313522,67.36,47.69,2.6,9,Medium,90.21,No,Yes,2.9,Good,1,None,Pass,Online,60,63
301,Bhavna,Female,16,High School,Farmer,302234,97.49,90.31,5.4,7.5,High,76.49,No,Yes,2.5,Poor,4,Dance,Pass,Offline,60,60
302,Siddharth,Male,16,PG,Scientist,260527,54.65,88.26,2.2,6.5,Low,78.91,No,No,0.1,Poor,5,Dance,Pass,Offline,52,49
303,Shreya,Female,17,PG,Doctor,149373,72.32,97.71,3.2,5.6,High,87.91,No,Yes,0.6,Poor,3,None,Pass,Offline,52,53
304,Rajat,Male,16,UG,Salesperson,370917,94.18,51.35,5.3,8.6,Medium,50.35,No,No,1.4,Average,3,None,Pass,Offline,52,53
305,Aanya,Female,18,High School,Driver,464548,52.92,63.99,5.5,5.2,Low,54.19,Yes,Yes,3.7,Excellent,2,Art,Pass,Online,76,76
306,Amit,Male,15,PG,Manager,271301,65.95,93.95,3.3,6.3,Low,81.13,No,Yes,3,Good,3,Music,Pass,Offline,52,53
307,Kavya,Female,17,UG,Technician,319749,83.27,45.66,4.2,8.6,Medium,59.53,No,Yes,1.7,Average,4,Music,Pass,Offline,52,53
308,Priya,Female,17,PG,Scientist,215145,99.7,90.84,3.4,7.8,High,57.11,Yes,No,0.6,Poor,5,None,Pass,Online,52,48
309,Simran,Female,18,PG,Professor,466823,65.81,97.92,3.2,6.5,High,98.53,Yes,No,0.2,Excellent,4,Sports,Pass,Online,52,53
310,Kavya,Female,18,High School,Tailor,472729,57.25,41.49,1.5,7,Medium,57.39,No,Yes,2.4,Excellent,2,Sports,Pass,Online,44,43
311,Komal,Female,17,High School,Security Guard,117699,88.59,68.25,1.3,6.7,High,82.69,Yes,Yes,3.2,Good,3,Dance,Pass,Offline,35,35
312,Trisha,Female,16,PG,Doctor,467685,87.79,79.76,1.5,7.8,High,97.5,Yes,No,2,Poor,2,Music,Pass,Offline,52,53
313,Kunal,Male,18,PG,Engineer,308653,85.7,69.61,1.3,6.1,High,97.97,Yes,No,3.7,Average,4,Sports,Pass,Online,52,53
314,Nikita,Female,14,High School,Farmer,469665,96.01,80.09,4.9,6.5,Medium,93.34,No,No,2.5,Good,5,Music,Pass,Online,49,48
315,Priya,Female,18,UG,Teacher,101408,88.75,79.37,3.3,5.7,Low,67.67,No,No,2.5,Excellent,3,Music,Pass,Offline,52,53
316,Trisha,Female,17,PG,Manager,89546,53.63,91.96,2.9,7.1,Low,55.34,Yes,No,2.8,Poor,3,Music,Pass,Online,52,53
317,Pooja,Female,17,UG,Accountant,493531,54.61,54.13,4.1,7.9,Low,53.77,Yes,Yes,0.1,Good,4,Music,Pass,Offline,52,53
318,Aryan,Male,16,High School,Driver,349682,52.13,81.08,2.6,7.1,Medium,90.03,Yes,Yes,0.5,Average,5,Music,Pass,Offline,30,29
319,Abhishek,Male,17,UG,Teacher,219791,77.21,88.44,5.4,7.5,Low,78.26,No,Yes,3.3,Excellent,1,Dance,Pass,Offline,52,53
320,Aarav,Male,17,UG,Salesperson,432682,72.92,46.32,3.2,6,Low,69.27,No,Yes,0.4,Average,5,Dance,Pass,Offline,52,47
321,Nikhil,Male,16,UG,Technician,58531,60.06,72.85,5.1,6,High,96.14,No,Yes,0.2,Average,2,Dance,Pass,Online,52,53
322,Anjali,Female,16,UG,Technician,450345,83.61,79.77,5.4,5.7,Low,55.9,Yes,Yes,1,Excellent,1,Sports,Pass,Offline,52,53
323,Aryan,Male,15,High School,Tailor,80120,87.78,69.66,3.2,7.1,Medium,93.91,No,Yes,1.4,Poor,1,None,Pass,Online,65,66
324,Komal,Female,16,PG,Scientist,222633,67.23,42.39,3.5,5.4,High,60.24,Yes,No,1.4,Good,5,None,Pass,Online,52,49
325,Aanya,Female,15,High School,Security Guard,220518,79.45,98.47,4.1,8.3,Medium,82.8,Yes,Yes,3.4,Excellent,2,None,Pass,Offline,65,60
326,Aryan,Male,17,High School,Security Guard,461333,88.24,83.32,2.3,8.6,Medium,63.56,No,Yes,0.4,Average,1,Music,Pass,Offline,58,62
327,Simran,Female,18,High School,Security Guard,104873,71.3,75.87,4.7,8.9,High,60.54,No,Yes,1.7,Average,2,Art,Pass,Offline,70,75
328,Vikram,Male,18,PG,Scientist,107711,54.31,79.33,2,6,Low,82.1,Yes,No,0.6,Poor,3,Music,Pass,Offline,52,53
329,Priya,Female,18,High School,Driver,346729,57.02,43.24,5.7,5.5,Low,51.96,Yes,Yes,2.8,Good,4,Art,Pass,Online,63,63
330,Nikita,Female,16,PG,Professor,191116,66.89,50.7,3.8,5.7,High,50.63,Yes,Yes,1.9,Poor,2,Sports,Pass,Offline,52,53
331,Sakshi,Female,15,UG,Accountant,477626,77.34,79.31,5.9,8.6,Low,96.09,Yes,No,0.8,Excellent,4,Art,Pass,Online,52,53
332,Vivaan,Male,14,PG,Manager,154104,65.39,57.28,2.9,7.6,Low,54.55,No,No,2,Poor,2,None,Pass,Online,52,53
333,Rahul,Male,17,UG,Salesperson,133371,91.77,86.38,3.7,7.7,High,83.08,No,Yes,3.4,Poor,2,None,Pass,Online,52,53
334,Isha,Female,17,High School,Shopkeeper,294677,59.22,42.01,5.4,5.5,High,57.48,No,No,1.1,Excellent,3,Art,Pass,Offline,68,64
335,Rahul,Male,16,UG,Technician,211578,57.54,74.68,4.5,5.4,Medium,75.56,No,Yes,0.1,Good,1,None,Pass,Offline,52,53
336,Aryan,Male,18,High School,Security Guard,223998,59.72,95.98,2.5,5.8,Low,71.95,Yes,No,2,Excellent,4,Music,Pass,Offline,37,36
337,Meera,Female,14,PG,Professor,485020,91.05,89.26,5.7,7.5,Low,50.85,No,No,2,Average,3,Dance,Pass,Online,52,53
338,Tanya,Female,15,PG,Scientist,171614,99.6,49.12,3.4,8.4,Low,51.06,No,Yes,0.5,Good,4,None,Pass,Online,52,53
339,Neha,Female,17,UG,Salesperson,84062,86.73,87.36,4.9,6.3,Medium,62.7,Yes,No,0.6,Poor,3,None,Pass,Online,52,53
340,Anjali,Female,16,UG,Teacher,226960,54.35,66.65,1.6,5.8,High,85.09,No,Yes,3.9,Excellent,2,Art,Pass,Online,52,53
341,Harsh,Male,15,UG,Technician,169401,94.32,69.06,1.1,5.6,High,68.88,Yes,Yes,0.6,Good,4,Sports,Pass,Offline,52,53
342,Rohan,Male,15,PG,Professor,392463,66.25,40.19,4.3,8.7,High,53.27,Yes,No,3.4,Poor,5,Sports,Pass,Offline,52,51
343,Pranav,Male,14,High School,Driver,271857,88.72,67.77,2.5,5.5,Low,74.3,Yes,No,0.1,Excellent,1,Sports,Pass,Online,60,61
344,Yash,Male,16,UG,Accountant,314282,78.22,76.61,4,5.7,Low,80.88,Yes,No,0.9,Excellent,5,Music,Pass,Offline,52,51
345,Meera,Female,14,UG,Accountant,170939,66.39,52.55,2.1,5.2,Medium,51.18,Yes,Yes,2.5,Average,4,Dance,Pass,Offline,52,53
346,Simran,Female,15,PG,Doctor,491051,50.44,98.14,5.9,6.7,Medium,72.38,No,Yes,0.2,Good,3,Sports,Pass,Online,52,53
347,Sakshi,Female,17,High School,Security Guard,56749,62.79,59.81,4.1,7.1,Medium,68.54,No,Yes,1.9,Excellent,2,Music,Pass,Online,65,58
348,Shreya,Female,14,PG,Manager,294804,98.19,83.62,2.2,5.5,High,83.21,Yes,No,0.9,Good,4,None,Pass,Online,52,53
349,Nikhil,Male,17,PG,Engineer,109744,94.37,90.11,3.2,7.2,Medium,52.09,No,Yes,2.9,Average,1,Dance,Pass,Offline,52,53
350,Sneha,Female,14,High School,Farmer,447696,64.76,40.55,1.9,6.1,Low,59.22,No,Yes,2.2,Average,3,Art,Pass,Online,40,39
351,Harsh,Male,18,PG,Doctor,459150,64.86,58.23,3,8.3,Medium,58,Yes,No,2.6,Good,4,Music,Pass,Online,52,53
352,Vikram,Male,15,High School,Farmer,387794,95.06,72.73,5.4,6.2,Low,82.59,No,No,1.5,Poor,4,Music,Pass,Online,60,68
353,Sneha,Female,15,UG,Salesperson,180544,85.21,55.45,1.8,8.6,Low,54.33,Yes,Yes,1.1,Excellent,2,Music,Pass,Offline,52,53
354,Meera,Female,16,High School,Security Guard,320660,59.66,84.82,3.2,8.7,Medium,59.56,Yes,No,3.7,Excellent,4,None,Pass,Offline,43,42
355,Yash,Male,15,High School,Security Guard,320101,69.19,58.85,4.3,8.7,Medium,85.4,Yes,Yes,1.7,Average,5,Sports,Pass,Online,44,39
356,Swati,Female,15,High School,Security Guard,104297,93.19,40.04,2.4,7.1,Low,53.71,Yes,Yes,3,Poor,1,Dance,Pass,Online,59,60
357,Nikhil,Male,16,High School,Driver,134227,69.61,96.42,1.9,6,Medium,90.62,No,No,1.9,Poor,3,Sports,Pass,Offline,40,40
358,Rajat,Male,14,High School,Security Guard,132479,88,47.16,5.8,8.1,Low,75.91,No,No,1.6,Good,3,Dance,Pass,Online,71,69
359,Krishna,Male,18,High School,Tailor,406135,83.46,90.64,1,8.8,Low,91.17,Yes,Yes,3.9,Good,1,Art,Pass,Offline,48,49
360,Isha,Female,17,UG,Teacher,133211,75.29,54.75,3.8,6.7,Medium,71.57,No,Yes,0.8,Average,3,Music,Pass,Offline,52,53
361,Amit,Male,17,UG,Accountant,295395,94.02,40.49,3.3,7.7,High,97.61,No,Yes,3.8,Good,2,Music,Pass,Online,52,53
362,Sneha,Female,16,High School,Security Guard,180559,88.3,99.53,5.7,8.2,Medium,56.97,Yes,Yes,1.4,Excellent,4,None,Pass,Online,63,70
